Object,X,Y,Z
box(8),-0.412887532161329,0.7947562930682832,1.05
box(7),-0.45626836667620296,0.6464904574188981,1.05
box(6),-0.2543341220781757,0.21300353636181368,1.05
box(5),-0.4545351117451233,0.31174568232479855,1.05
box(4),-0.23045518547954402,0.49242832833740285,1.05
box(3),-0.6323054760821334,0.24453780628123806,1.05
box(2),-0.5714763292222997,0.4702101966765672,1.05
box(1),-0.6947702541169387,0.5764072767759786,1.05
box(0),-0.38063457474257245,0.4798348082112822,1.05
box(8),-0.30674176771102246,0.6838643097938222,1.05
box(7),-0.5522775283617158,0.7790572502985174,1.05
box(6),-0.7058152027529709,0.3978871270815678,1.05
box(5),-0.2935170778469358,0.27933620861219255,1.05
box(4),-0.4560537894875243,0.31703690198673545,1.05
box(3),-0.7678832002277538,0.7489606156958033,1.05
box(2),-0.7185934202660407,0.24442188597411307,1.05
box(1),-0.48381125185718393,0.6351623693762797,1.05
box(0),-0.7819687006382878,0.5993048180632576,1.05
box(8),-0.27368907500685313,0.512079583049754,1.05
box(7),-0.2163759851733016,0.7814599143416712,1.05
box(6),-0.5440375614678908,0.4500005910870169,1.05
box(5),-0.6947739514313022,0.4481877722594694,1.05
box(4),-0.27150162970014363,0.29925473864256447,1.05
box(3),-0.6126543733926879,0.7660466197637126,1.05
box(2),-0.49501556262108914,0.3066789227876564,1.05
box(1),-0.7994809678878965,0.3239182089583304,1.05
box(0),-0.44264429430198415,0.7243200092272619,1.05
box(8),-0.7277652268313541,0.6411578670597939,1.05
box(7),-0.3123187937890189,0.578385824044652,1.05
box(6),-0.24412589700157747,0.7988948120838193,1.05
box(5),-0.22685657167663145,0.4444037534297053,1.05
box(4),-0.532112246480223,0.4936442203568203,1.05
box(3),-0.6143519493951144,0.2065664087855508,1.05
box(2),-0.28924574123782476,0.249012299617639,1.05
box(1),-0.7951649002828141,0.788177649838911,1.05
box(0),-0.7577344188443755,0.3159092168262648,1.05
box(8),-0.3895677957492357,0.7490391905143827,1.05
box(7),-0.515034820368512,0.6632061602607954,1.05
box(6),-0.4457259659154009,0.30659363530986716,1.05
box(5),-0.20631932038156559,0.7236432379461146,1.05
box(4),-0.6813385222035924,0.4753840723448181,1.05
box(3),-0.4796463479099912,0.4982238996811726,1.05
box(2),-0.6631414496596542,0.6870757051887523,1.05
box(1),-0.24503377730660575,0.31994745945466174,1.05
box(0),-0.2036330271630697,0.5630660694359242,1.05
box(8),-0.6130353463752323,0.33531866852760206,1.05
box(7),-0.7561817805361764,0.26226146781202586,1.05
box(6),-0.39389592345273494,0.7027996580970157,1.05
box(5),-0.4818405271720576,0.20503385591387385,1.05
box(4),-0.23971837874870178,0.7097940161869694,1.05
box(3),-0.4050342610022267,0.3385336791903424,1.05
box(2),-0.7741043728861707,0.4841349066087855,1.05
box(1),-0.7756811010982612,0.6791518752749532,1.05
box(0),-0.646453149056858,0.7568099158776012,1.05
box(8),-0.5198964460017238,0.4606036778857261,1.05
box(7),-0.34847720877124044,0.49422354718435835,1.05
box(6),-0.6666037710460102,0.26781614916311164,1.05
box(5),-0.24998301660785177,0.35486775453353736,1.05
box(4),-0.5132912110544818,0.686762795615782,1.05
box(3),-0.21029337602602508,0.7039111254280759,1.05
box(2),-0.4122542476974665,0.27792321124589797,1.05
box(1),-0.7833826527344485,0.41471640514724395,1.05
box(0),-0.7575580409228615,0.5939689529745931,1.05
box(8),-0.3502383439731612,0.7608351538978599,1.05
box(7),-0.5495578510596381,0.43009103118015557,1.05
box(6),-0.37200569425310565,0.44391317101260114,1.05
box(5),-0.7186011882520347,0.7501811777128209,1.05
box(4),-0.213410059382659,0.3235335956616815,1.05
box(3),-0.6510641598387144,0.2501940708677438,1.05
box(2),-0.5133234943788916,0.7369918579730041,1.05
box(1),-0.35039502851928983,0.24776756217778373,1.05
box(0),-0.22471172779652515,0.5861773739187288,1.05
box(8),-0.5011962794501332,0.2787094411023319,1.05
box(7),-0.7175162489020868,0.5699381496670601,1.05
box(6),-0.5108880816765241,0.5615272965931003,1.05
box(5),-0.31667686840843734,0.7727385449428474,1.05
box(4),-0.6593781727853922,0.7748540449671022,1.05
box(3),-0.6819707030739381,0.4075445863028247,1.05
box(2),-0.6598371341143425,0.23584429405708324,1.05
box(1),-0.20621629618579831,0.37010793477369974,1.05
box(0),-0.419876121930836,0.4053325737977509,1.05
box(8),-0.5008768407642246,0.7981381834388008,1.05
box(7),-0.7972487469093681,0.30996860598931075,1.05
box(6),-0.32511450653884977,0.5636056189813146,1.05
box(5),-0.4070940988185792,0.24451873731691362,1.05
box(4),-0.25338858004947995,0.7665026048025578,1.05
box(3),-0.7581723753142513,0.7804540773523099,1.05
box(2),-0.7163804864469323,0.47939043970128703,1.05
box(1),-0.6257670349201383,0.28527425405002255,1.05
box(0),-0.4541896877534681,0.6545578092477944,1.05
box(8),-0.334393425846071,0.41061633695191846,1.05
box(7),-0.6367725488979706,0.6912256879485557,1.05
box(6),-0.23613415199830434,0.23154046785659613,1.05
box(5),-0.3236470510460289,0.5689694846183497,1.05
box(4),-0.4940197310100819,0.42474530896802126,1.05
box(3),-0.4685987209101263,0.2686032047768043,1.05
box(2),-0.268521784647077,0.7363872219098138,1.05
box(1),-0.7890022443139877,0.20373210383011925,1.05
box(0),-0.6701699009746149,0.4643288886407535,1.05
box(8),-0.46596884836368496,0.6778768400527251,1.05
box(7),-0.29997469994243803,0.408816442348444,1.05
box(6),-0.7352767275328822,0.6976651220809057,1.05
box(5),-0.21835759617241673,0.26170610928691806,1.05
box(4),-0.3504985775144597,0.5715448543860792,1.05
box(3),-0.7837029589292788,0.3549814923014251,1.05
box(2),-0.369084916370331,0.25013481314984126,1.05
box(1),-0.6397923234964185,0.24576098118941003,1.05
box(0),-0.5339951449970627,0.5310163942761347,1.05
box(8),-0.23852696966859405,0.7678227011862166,1.05
box(7),-0.5798790769137161,0.7515523105500335,1.05
box(6),-0.37502126450344375,0.4035210413530713,1.05
box(5),-0.7462281451147248,0.7482919885318622,1.05
box(4),-0.4311393078517558,0.7310330826464859,1.05
box(3),-0.2046601261304575,0.47149875221616866,1.05
box(2),-0.7937868070603105,0.27655576119886655,1.05
box(1),-0.3341835982920278,0.22274404854361946,1.05
box(0),-0.721667948121242,0.5761938877660508,1.05
box(8),-0.7702383997113171,0.426237192113298,1.05
box(7),-0.40129277647851425,0.5796702142001229,1.05
box(6),-0.6007171130284655,0.4567149110617159,1.05
box(5),-0.38589957631728256,0.37602732845758524,1.05
box(4),-0.6334693186910402,0.24849171070786838,1.05
box(3),-0.2495434616642528,0.7409563636696688,1.05
box(2),-0.5861692864432252,0.6985284731336621,1.05
box(1),-0.7685479204440995,0.7902125293939792,1.05
box(0),-0.20815914112005415,0.517276937157118,1.05
box(8),-0.3955775014313727,0.2173826401735566,1.05
box(7),-0.4027476821687166,0.7888935867206601,1.05
box(6),-0.2062227522545257,0.2011871138901894,1.05
box(5),-0.4660282901310164,0.5928530018165794,1.05
box(4),-0.7280672341364436,0.4259734470300935,1.05
box(3),-0.41807822127454336,0.41231766209838555,1.05
box(2),-0.21802084112077905,0.3545047881966892,1.05
