Object,X,Y,Z
box(8),-0.393953996,0.56867473,1.05
box(7),-0.329011688,0.365674149,1.05
box(6),-0.551269954,0.217851702,1.05
box(5),-0.330936954,0.214526307,1.05
box(4),-0.240500629,0.580480318,1.05
box(3),-0.773653112,0.220865008,1.05
box(2),-0.330190059,0.76580596,1.05
box(1),-0.7400374,0.500355021,1.05
box(0),-0.567097088,0.759384331,1.05
box(8),-0.678047151,0.363021698,1.05
box(7),-0.569790455,0.515050834,1.05
box(6),-0.43858422,0.60165709,1.05
box(5),-0.302501766,0.439568633,1.05
box(4),-0.578839991,0.242613588,1.05
box(3),-0.221199121,0.620223669,1.05
box(2),-0.364435735,0.203540408,1.05
box(1),-0.728680138,0.672459827,1.05
box(0),-0.747801811,0.202220917,1.05
box(8),-0.57731847,0.714887762,1.05
box(7),-0.743924612,0.440461898,1.05
box(6),-0.49282307,0.406195191,1.05
box(5),-0.626202535,0.538490126,1.05
box(4),-0.30195133,0.756623856,1.05
box(3),-0.549812818,0.221481676,1.05
box(2),-0.319039418,0.512126147,1.05
box(1),-0.348813247,0.340508461,1.05
box(0),-0.766049815,0.677222223,1.05
box(8),-0.749738803,0.204979395,1.05
box(7),-0.549669944,0.793736796,1.05
box(6),-0.477389604,0.593938123,1.05
box(5),-0.509526768,0.410677975,1.05
box(4),-0.717308008,0.517316319,1.05
box(3),-0.337644121,0.751337911,1.05
box(2),-0.481425855,0.258766557,1.05
box(1),-0.235609106,0.541888374,1.05
box(0),-0.646302795,0.323573651,1.05
box(8),-0.685529056,0.722519084,1.05
box(7),-0.206960129,0.272247436,1.05
box(6),-0.487566776,0.768863375,1.05
box(5),-0.338607712,0.370309582,1.05
box(4),-0.444856792,0.564792529,1.05
box(3),-0.714907682,0.492184871,1.05
box(2),-0.785508169,0.242260074,1.05
box(1),-0.289835011,0.796398115,1.05
box(0),-0.306312801,0.645385972,1.05
box(8),-0.535756601,0.204933875,1.05
box(7),-0.748424336,0.784471054,1.05
box(6),-0.487010597,0.403873728,1.05
box(5),-0.296167746,0.216630964,1.05
box(4),-0.470943467,0.718259665,1.05
box(3),-0.299590134,0.463421274,1.05
box(2),-0.735847512,0.588047629,1.05
box(1),-0.553966548,0.55006429,1.05
box(0),-0.677626927,0.390893369,1.05
box(8),-0.242095582,0.756279853,1.05
box(7),-0.320040275,0.612331989,1.05
box(6),-0.652344407,0.779632531,1.05
box(5),-0.521487029,0.232750235,1.05
box(4),-0.317526469,0.229882143,1.05
box(3),-0.779160982,0.235046466,1.05
box(2),-0.376537682,0.373574478,1.05
box(1),-0.789803842,0.660443959,1.05
box(0),-0.51539863,0.453949641,1.05
box(8),-0.594674439,0.596219207,1.05
box(7),-0.491869265,0.733430828,1.05
box(6),-0.770599118,0.418235073,1.05
box(5),-0.265288855,0.607861927,1.05
box(4),-0.258069232,0.776889519,1.05
box(3),-0.551907094,0.227010961,1.05
box(2),-0.242722646,0.254727153,1.05
box(1),-0.274056636,0.454974358,1.05
box(0),-0.739565429,0.714146342,1.05
box(8),-0.769780954,0.235840475,1.05
box(7),-0.556904783,0.492813497,1.05
box(6),-0.531577769,0.731740623,1.05
box(5),-0.690137692,0.4209464,1.05
box(4),-0.245637065,0.604317717,1.05
box(3),-0.351882221,0.729033023,1.05
box(2),-0.395265621,0.263686156,1.05
box(1),-0.535227825,0.318076626,1.05
box(0),-0.223626766,0.330802432,1.05
box(8),-0.768276536,0.689570478,1.05
box(7),-0.35785804,0.436877809,1.05
box(6),-0.686685002,0.244409872,1.05
box(5),-0.449523281,0.60090532,1.05
box(4),-0.614956721,0.694074781,1.05
box(3),-0.596494343,0.532528096,1.05
box(2),-0.361592631,0.793188935,1.05
box(1),-0.737117382,0.412261944,1.05
