Object,X,Y,Z
box(9),0.599438518171308,-0.30078403624051664,1.05
box(8),0.4224989320706035,0.1339657536664285,1.05
box(7),0.6051993667441892,0.4843016903174975,1.05
box(6),0.42314831059835234,-0.05176886074057119,1.05
box(5),0.6205438172699288,-0.148802465726541,1.05
box(4),0.3173044100807969,-0.440774821529651,1.05
box(3),0.5748195491194594,0.32905225173052643,1.05
box(2),0.4898216793299105,-0.4647100986318743,1.05
box(1),0.42537402188477386,-0.3196661046142034,1.05
box(0),0.6004304675070912,0.17461609148579293,1.05
box(9),0.41062215429915316,0.422758571482598,1.05
box(8),0.5724099304736514,0.018535705966166494,1.05
box(7),0.314980663087185,0.2782716143223456,1.05
box(6),0.3112914364429033,0.11506426188448016,1.05
box(5),0.6320019233946804,-0.31366044884717115,1.05
box(4),0.3696251998229797,-0.09912995885870801,1.05
box(3),0.580649336130816,0.48980762986939164,1.05
box(2),0.6424508698741473,-0.1426195886082351,1.05
box(1),0.5490970881408546,-0.47276125182679996,1.05
box(0),0.36004690137446765,-0.3297926342638796,1.05
box(9),0.4946894535394397,0.27895227738317996,1.05
box(8),0.4137118500992858,0.4974962335300086,1.05
box(7),0.6149944732148843,0.0803038761079723,1.05
box(6),0.47778272557358475,-0.23541180363700964,1.05
box(5),0.31059038710469933,0.21052222978457857,1.05
box(4),0.4445571950606441,0.1032267983460109,1.05
box(3),0.4530189892367622,-0.05945660170076539,1.05
box(2),0.5613836922410721,0.4288270138203806,1.05
box(1),0.327319908771213,-0.18049810702499525,1.05
box(0),0.617716116850089,-0.10189104492170609,1.05
box(9),0.5424593318213614,-0.41583307815171466,1.05
box(8),0.5482265167329547,0.25712806625489415,1.05
box(7),0.3919870450765116,0.3433866730260223,1.05
box(6),0.6491053515344769,0.07690852091512856,1.05
box(5),0.3530881410456611,-0.41581133079948995,1.05
box(4),0.30369947546032805,0.03706147641605362,1.05
box(3),0.4673505333839004,-0.274748935259554,1.05
box(2),0.4722390219199819,-0.04649524202754418,1.05
box(1),0.42214463211514436,0.13422555090882138,1.05
box(0),0.627960768067233,0.40562491649398635,1.05
box(9),0.6484969302770252,-0.12115361995527707,1.05
box(8),0.46633524822262923,0.4990697586213787,1.05
box(7),0.6451197814552178,0.23727286475961618,1.05
box(6),0.6025982219538046,-0.37304762063593155,1.05
box(5),0.3280227836506238,-0.201231527747735,1.05
box(4),0.3332095639345004,0.33217266907761267,1.05
box(3),0.4379298944424588,-0.47986343858525793,1.05
box(2),0.462510624285366,-0.27750167591868713,1.05
box(1),0.300809559407587,-0.3939063953022325,1.05
