Cycle,State,TimeSpent
0,0,0.000000
-1,0,0.000000
-2,0,0.000000
-3,0,0.000000
-4,0,0.000000
-5,0,0.000000
-6,0,0.000000
-7,0,0.000000
-8,0,0.000000
-9,0,0.000000
-10,0,0.000000
-11,0,0.000000
-12,0,0.000000
-13,0,0.000000
-14,0,0.000000
-15,0,0.000000
-16,0,0.000000
-17,0,0.001000
-18,0,0.000000
-19,0,0.000000
-20,0,0.000000
-21,0,0.000000
-22,0,0.000000
-23,0,0.000000
-24,0,0.000000
-25,0,0.000000
-26,0,0.000000
-27,0,0.000000
-28,0,0.000000
-29,0,0.000000
-30,0,0.000000
-31,0,0.000000
-32,0,0.000000
-33,0,0.000000
-34,0,0.000000
-35,0,0.000000
-36,0,0.000000
-37,0,0.000000
-38,0,0.000000
-39,0,0.000000
-40,0,0.000000
-41,0,0.000000
-42,0,0.000000
-43,0,0.000000
-44,0,0.001000
8,1,0.000000
0,2,0.000000
-1,2,0.000000
-2,2,0.000000
-3,2,0.000000
-4,2,0.000000
-5,2,0.000000
-6,2,0.000000
-7,2,0.000000
-8,2,0.000000
-9,2,0.000000
-10,2,0.000000
-11,2,0.000000
-12,2,0.000000
-13,2,0.000000
-14,2,0.000000
-15,2,0.000000
-16,2,0.002000
-17,2,0.000000
-18,2,0.000000
-19,2,0.000000
-20,2,0.000000
-21,2,0.000000
-22,2,0.000000
-23,2,0.000000
-24,2,0.000000
-25,2,0.000000
-26,2,0.000000
-27,2,0.000000
-28,2,0.000000
-29,2,0.000000
-30,2,0.000000
-31,2,0.000000
-32,2,0.000000
-33,2,0.000000
-34,2,0.000000
-35,2,0.000000
-36,2,0.000000
-37,2,0.000000
-38,2,0.000000
-39,2,0.000000
-40,2,0.000000
-41,2,0.000000
-42,2,0.000000
-43,2,0.000000
-44,2,0.000000
-45,2,0.000000
-46,2,0.000000
-47,2,0.000000
-48,2,0.000000
-49,2,0.000000
-50,2,0.000000
-51,2,0.000000
-52,2,0.000000
-53,2,0.000000
-54,2,0.000000
-55,2,0.000000
-56,2,0.000000
-57,2,0.000000
-58,2,0.000000
-59,2,0.000000
-60,2,0.000000
-61,2,0.000000
-62,2,0.000000
-63,2,0.000000
-64,2,0.000000
-65,2,0.000000
-66,2,0.000000
-67,2,0.000000
-68,2,0.000000
-69,2,0.000000
-70,2,0.000000
-71,2,0.000000
8,3,0.000000
0,4,0.000000
-1,4,0.000000
-2,4,0.000000
-3,4,0.000000
-4,4,0.000000
-5,4,0.000000
-6,4,0.000000
-7,4,0.000000
-8,4,0.000000
-9,4,0.000000
-10,4,0.000000
-11,4,0.000000
-12,4,0.000000
-13,4,0.000000
-14,4,0.000000
-15,4,0.000000
-16,4,0.000000
-17,4,0.000000
-18,4,0.000000
-19,4,0.000000
-20,4,0.000000
